id,line,route_id,vehicle_type,bearing,delay,longitude,latitude,last_update
30059,S31,1780,5,315,0,16.405857,49.357342,2025-03-09T07:51:29.707Z
2025,55,4010,2,135,2,16.676514,49.212193,2025-03-09T07:51:29.707Z
21509,333,107,4,0,0,16.429953,49.385738,2025-03-09T07:51:29.708Z
7064,52,4011,2,270,0,16.522299,49.195133,2025-03-09T07:51:29.708Z
21684,423,321,4,225,0,16.234507,49.12278,2025-03-09T07:51:29.708Z
1603,3,4019,0,315,0,16.625561,49.203526,2025-03-09T07:51:29.708Z
21100,642,207,4,90,2,17.070215,49.068604,2025-03-09T07:51:29.708Z
1821,2,4026,0,0,0,16.595272,49.179501,2025-03-09T07:51:29.708Z
7092,40,4009,2,90,0,16.590942,49.172844,2025-03-09T07:51:29.708Z
31020,S3,4609,5,90,1,16.729141,48.908829,2025-03-09T07:51:29.708Z
30029,S41,4462,5,270,1,16.371574,49.098213,2025-03-09T07:51:29.708Z
21256,543,306,4,225,0,16.733887,48.936436,2025-03-09T07:51:29.708Z
30189,R12,914,5,45,0,16.612648,49.190464,2025-03-09T07:51:29.707Z
21193,564,109,4,225,1,16.890972,48.75362,2025-03-09T07:51:29.708Z
30159,S41,4406,5,180,0,16.607939,49.185783,2025-03-09T07:51:29.708Z
7682,49,4503,2,315,0,16.640999,49.176197,2025-03-09T07:51:29.708Z
21776,602,201,4,180,0,16.968178,49.159676,2025-03-09T07:51:29.708Z
1839,1,4022,0,315,0,16.587378,49.235229,2025-03-09T07:51:29.708Z
7043,x4,4025,2,45,0,16.607056,49.21883,2025-03-09T07:51:29.708Z
21499,801,306,4,270,0,16.070045,48.854553,2025-03-09T07:51:29.708Z
1101,1,4041,0,135,1,16.582886,49.242138,2025-03-09T07:51:29.708Z
21322,105,206,4,270,0,16.616386,49.185669,2025-03-09T07:51:29.708Z
1949,3,4024,0,135,0,16.557266,49.214756,2025-03-09T07:51:29.708Z
21199,550,203,4,0,3,16.766708,48.873432,2025-03-09T07:51:29.708Z
7532,69,4006,2,225,0,16.567986,49.165226,2025-03-09T07:51:29.708Z
7717,70,4085,2,180,1,16.58807,49.245361,2025-03-09T07:51:29.708Z
7049,x49,4009,2,180,4,16.603556,49.138916,2025-03-09T07:51:29.707Z
1901,6,4025,0,180,0,16.595272,49.179142,2025-03-09T07:51:29.707Z
